time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.767908942,vehicle_power,veh-1,0.0
0.767908942,vehicle_power,veh-2,0.0
0.767908942,rsu_power,rsu-1,0.0
0.767908942,rsu_power,rsu-2,0.0
0.767908942,timeout,,0.0
0.767908942,failure,,0.0
0.767908942,coverage,,0.75
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.75
0.79193002,vehicle_power,veh-1,0.0
0.79193002,vehicle_power,veh-2,0.0
0.79193002,rsu_power,rsu-1,0.0
0.79193002,rsu_power,rsu-2,0.0
0.79193002,timeout,,0.0
0.79193002,failure,,0.0
0.79193002,coverage,,0.75
0.79273002,vehicle_power,veh-1,0.0
0.79273002,vehicle_power,veh-2,0.0
0.79273002,rsu_power,rsu-1,0.0
0.79273002,rsu_power,rsu-2,0.0
0.79273002,timeout,,0.0
0.79273002,failure,,0.0
0.79273002,coverage,,0.75
0.828989172,vehicle_power,veh-1,0.0
0.828989172,vehicle_power,veh-2,0.0
0.828989172,rsu_power,rsu-1,0.0
0.828989172,rsu_power,rsu-2,0.0
0.828989172,timeout,,0.0
0.828989172,failure,,0.0
0.828989172,coverage,,0.75
0.836489172,vehicle_power,veh-1,0.0
0.836489172,vehicle_power,veh-2,0.0
0.836489172,rsu_power,rsu-1,0.0
0.836489172,rsu_power,rsu-2,0.0
0.836489172,timeout,,0.0
0.836489172,failure,,0.0
0.836489172,coverage,,0.75
0.8439169719999999,vehicle_power,veh-1,0.0
0.8439169719999999,vehicle_power,veh-2,0.0
0.8439169719999999,rsu_power,rsu-1,0.0
0.8439169719999999,rsu_power,rsu-2,0.0
0.8439169719999999,timeout,,0.0
0.8439169719999999,failure,,0.0
0.8439169719999999,coverage,,0.75
0.844716972,vehicle_power,veh-1,0.0
0.844716972,vehicle_power,veh-2,0.0
0.844716972,rsu_power,rsu-1,0.0
0.844716972,rsu_power,rsu-2,0.0
0.844716972,timeout,,0.0
0.844716972,failure,,0.0
0.844716972,coverage,,0.75
0.8986202277841236,vehicle_power,veh-1,0.0
0.8986202277841236,vehicle_power,veh-2,0.0
0.8986202277841236,rsu_power,rsu-1,0.0
0.8986202277841236,rsu_power,rsu-2,0.0
0.8986202277841236,timeout,,0.0
0.8986202277841236,failure,,0.0
0.8986202277841236,coverage,,0.75
0.9326202277841237,vehicle_power,veh-1,0.0
0.9326202277841237,vehicle_power,veh-2,0.0
0.9326202277841237,rsu_power,rsu-1,0.0
0.9326202277841237,rsu_power,rsu-2,0.0
0.9326202277841237,timeout,,0.0
0.9326202277841237,failure,,0.0
0.9326202277841237,coverage,,0.0
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.0
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.0
1.2,vehicle_power,veh-1,0.0
1.2,vehicle_power,veh-2,0.0
1.2,rsu_power,rsu-1,0.0
1.2,rsu_power,rsu-2,0.0
1.2,timeout,,0.0
1.2,failure,,0.0
1.2,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.0
1.29,vehicle_power,veh-1,0.0
1.29,vehicle_power,veh-2,0.0
1.29,rsu_power,rsu-1,0.0
1.29,rsu_power,rsu-2,0.0
1.29,timeout,,0.0
1.29,failure,,0.0
1.29,coverage,,0.0
1.5,vehicle_power,veh-1,0.0
1.5,vehicle_power,veh-2,0.0
1.5,rsu_power,rsu-1,0.0
1.5,rsu_power,rsu-2,0.0
1.5,timeout,,0.0
1.5,failure,,0.0
1.5,coverage,,0.0
