time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.764417103,vehicle_power,veh-1,0.0
0.764417103,vehicle_power,veh-2,0.0
0.764417103,rsu_power,rsu-1,0.0
0.764417103,rsu_power,rsu-2,0.0
0.764417103,timeout,,0.0
0.764417103,failure,,0.0
0.764417103,coverage,,0.75
0.788438181,vehicle_power,veh-1,0.0
0.788438181,vehicle_power,veh-2,0.0
0.788438181,rsu_power,rsu-1,0.0
0.788438181,rsu_power,rsu-2,0.0
0.788438181,timeout,,0.0
0.788438181,failure,,0.0
0.788438181,coverage,,0.75
0.789238181,vehicle_power,veh-1,0.0
0.789238181,vehicle_power,veh-2,0.0
0.789238181,rsu_power,rsu-1,0.0
0.789238181,rsu_power,rsu-2,0.0
0.789238181,timeout,,0.0
0.789238181,failure,,0.0
0.789238181,coverage,,0.75
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.75
0.826638181,vehicle_power,veh-1,0.0
0.826638181,vehicle_power,veh-2,0.0
0.826638181,rsu_power,rsu-1,0.0
0.826638181,rsu_power,rsu-2,0.0
0.826638181,timeout,,0.0
0.826638181,failure,,0.0
0.826638181,coverage,,0.0
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.0
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.0
1.2,vehicle_power,veh-1,0.0
1.2,vehicle_power,veh-2,0.0
1.2,rsu_power,rsu-1,0.0
1.2,rsu_power,rsu-2,0.0
1.2,timeout,,0.0
1.2,failure,,0.0
1.2,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.0
1.29,vehicle_power,veh-1,0.0
1.29,vehicle_power,veh-2,0.0
1.29,rsu_power,rsu-1,0.0
1.29,rsu_power,rsu-2,0.0
1.29,timeout,,0.0
1.29,failure,,0.0
1.29,coverage,,0.0
1.5,vehicle_power,veh-1,0.0
1.5,vehicle_power,veh-2,0.0
1.5,rsu_power,rsu-1,0.0
1.5,rsu_power,rsu-2,0.0
1.5,timeout,,0.0
1.5,failure,,0.0
1.5,coverage,,0.0
1.54,vehicle_power,veh-1,0.0
1.54,vehicle_power,veh-2,0.0
1.54,rsu_power,rsu-1,0.0
1.54,rsu_power,rsu-2,0.0
1.54,timeout,,0.0
1.54,failure,,0.0
1.54,coverage,,0.0
1.584596108,vehicle_power,veh-1,0.0
1.584596108,vehicle_power,veh-2,0.0
1.584596108,rsu_power,rsu-1,0.0
1.584596108,rsu_power,rsu-2,0.0
1.584596108,timeout,,0.0
1.584596108,failure,,0.0
1.584596108,coverage,,0.75
1.6271789269999999,vehicle_power,veh-1,0.0
1.6271789269999999,vehicle_power,veh-2,0.0
1.6271789269999999,rsu_power,rsu-1,0.0
1.6271789269999999,rsu_power,rsu-2,0.0
1.6271789269999999,timeout,,0.0
1.6271789269999999,failure,,0.0
1.6271789269999999,coverage,,0.75
1.6279789269999998,vehicle_power,veh-1,0.0
1.6279789269999998,vehicle_power,veh-2,0.0
1.6279789269999998,rsu_power,rsu-1,0.0
1.6279789269999998,rsu_power,rsu-2,0.0
1.6279789269999998,timeout,,0.0
1.6279789269999998,failure,,0.0
