time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.76405131,vehicle_power,veh-1,0.0
0.76405131,vehicle_power,veh-2,0.0
0.76405131,rsu_power,rsu-1,0.0
0.76405131,rsu_power,rsu-2,0.0
0.76405131,timeout,,0.0
0.76405131,failure,,0.0
0.76405131,coverage,,0.75
0.788072388,vehicle_power,veh-1,0.0
0.788072388,vehicle_power,veh-2,0.0
0.788072388,rsu_power,rsu-1,0.0
0.788072388,rsu_power,rsu-2,0.0
0.788072388,timeout,,0.0
0.788072388,failure,,0.0
0.788072388,coverage,,0.75
0.788872388,vehicle_power,veh-1,0.0
0.788872388,vehicle_power,veh-2,0.0
0.788872388,rsu_power,rsu-1,0.0
0.788872388,rsu_power,rsu-2,0.0
0.788872388,timeout,,0.0
0.788872388,failure,,0.0
0.788872388,coverage,,0.75
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.75
0.8082256520000001,vehicle_power,veh-1,0.0
0.8082256520000001,vehicle_power,veh-2,0.0
0.8082256520000001,rsu_power,rsu-1,0.0
0.8082256520000001,rsu_power,rsu-2,0.0
0.8082256520000001,timeout,,0.0
0.8082256520000001,failure,,0.0
0.8082256520000001,coverage,,0.75
0.815725652,vehicle_power,veh-1,0.0
0.815725652,vehicle_power,veh-2,0.0
0.815725652,rsu_power,rsu-1,0.0
0.815725652,rsu_power,rsu-2,0.0
0.815725652,timeout,,0.0
0.815725652,failure,,0.0
0.815725652,coverage,,0.75
0.842605185,vehicle_power,veh-1,0.0
0.842605185,vehicle_power,veh-2,0.0
0.842605185,rsu_power,rsu-1,0.0
0.842605185,rsu_power,rsu-2,0.0
0.842605185,timeout,,0.0
0.842605185,failure,,0.0
0.842605185,coverage,,0.75
0.850105185,vehicle_power,veh-1,0.0
0.850105185,vehicle_power,veh-2,0.0
0.850105185,rsu_power,rsu-1,0.0
0.850105185,rsu_power,rsu-2,0.0
0.850105185,timeout,,0.0
0.850105185,failure,,0.0
0.850105185,coverage,,0.75
0.857439905,vehicle_power,veh-1,0.0
0.857439905,vehicle_power,veh-2,0.0
0.857439905,rsu_power,rsu-1,0.0
0.857439905,rsu_power,rsu-2,0.0
0.857439905,timeout,,0.0
0.857439905,failure,,0.0
0.857439905,coverage,,0.75
0.858239905,vehicle_power,veh-1,0.0
0.858239905,vehicle_power,veh-2,0.0
0.858239905,rsu_power,rsu-1,0.0
0.858239905,rsu_power,rsu-2,0.0
0.858239905,timeout,,0.0
0.858239905,failure,,0.0
0.858239905,coverage,,0.75
0.895639905,vehicle_power,veh-1,0.0
0.895639905,vehicle_power,veh-2,0.0
0.895639905,rsu_power,rsu-1,0.0
0.895639905,rsu_power,rsu-2,0.0
0.895639905,timeout,,0.0
0.895639905,failure,,0.0
0.895639905,coverage,,0.0
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.0
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.0
1.2,vehicle_power,veh-1,0.0
1.2,vehicle_power,veh-2,0.0
1.2,rsu_power,rsu-1,0.0
1.2,rsu_power,rsu-2,0.0
1.2,timeout,,0.0
1.2,failure,,0.0
1.2,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
